,location,year,category,rank,query
499,Global,2006,How to...,5,How to Scream
500,Global,2006,Jerseys,1,World Cup Jerseys
501,Global,2006,Jerseys,2,Zidane Jersey
502,Global,2006,Jerseys,3,Buffalo Sabres Jersey
503,Global,2006,Jerseys,4,Ronaldinho Jersey
504,Global,2006,Jerseys,5,Italy Jersey
505,Global,2006,Most Searched,1,Bebo
506,Global,2006,Most Searched,2,Myspace
507,Global,2006,Most Searched,3,World Cup
508,Global,2006,Most Searched,4,Metacafe
509,Global,2006,Most Searched,5,Radioblog
510,Global,2006,News Searches,1,Paris Hilton
511,Global,2006,News Searches,2,Orlando Bloom
512,Global,2006,News Searches,3,Cancer
513,Global,2006,News Searches,4,Podcasting
514,Global,2006,News Searches,5,Hurricane Katrina
515,Global,2006,Retirements,1,Bob Barker
516,Global,2006,Retirements,2,Bobby Bowden
517,Global,2006,Retirements,3,Sammy Sosa
518,Global,2006,Retirements,4,Tiki Barber
519,Global,2006,Retirements,5,Bill Gates
520,Global,2006,Weddings,1,Nicole Kidman and Keith Urban
521,Global,2006,Weddings,2,Tom Cruise and Katie Holmes
522,Global,2006,Weddings,3,Avril Lavigne and Deryck Whibley
523,Global,2006,Weddings,4,Campbell Brown and Dan Senor
524,Global,2006,Weddings,5,TomKat Wedding Photos
525,Global,2006,What is...,1,What is Hezbollah
526,Global,2006,What is...,2,What is Carisoprodol
527,Global,2006,What is...,3,What is Acyclovir
528,Global,2006,What is...,4,What is Alprazolam
529,Global,2006,What is...,5,What is Tramadol
530,Global,2006,Where is...,1,Where is Togo
531,Global,2006,Where is...,2,Where is Matt
532,Global,2006,Where is...,3,Where is Torino
533,Global,2006,Where is...,4,Where is Darfur
534,Global,2006,Where is...,5,Where is Villanova
535,Global,2006,Who is...,1,Who is Borat
536,Global,2006,Who is...,2,Who is Hezbollah
537,Global,2006,Who is...,3,Who is EU
538,Global,2006,Who is...,4,Who is Hot
539,Global,2006,Who is...,5,Who is Capote
540,United States,2006,Movie Showtimes,1,Idiocracy Showtimes
541,United States,2006,Movie Showtimes,2,Cars Showtimes
542,United States,2006,Movie Showtimes,3,Borat Showtimes
543,United States,2006,Movie Showtimes,4,Superman Showtimes
544,United States,2006,Movie Showtimes,5,Jesus Camp Showtimes
545,United States,2006,Scandals,1,Duke Lacrosse Scandal
546,United States,2006,Scandals,2,Project Runway Scandal
547,United States,2006,Scandals,3,Duke Scandal
548,United States,2006,Scandals,4,Duke Rape Scandal
549,United States,2006,Scandals,5,Reggie Bush Scandal
550,United States,2006,Tickets,1,Cheetah Girls Tickets
551,United States,2006,Tickets,2,Mets Playoff Tickets
552,United States,2006,Tickets,3,The Fray Tickets
553,United States,2006,Tickets,4,Bob Seger Tickets
554,United States,2006,Tickets,5,Chris Brown Tickets
555,Global,2007,News Searches,1,American Idol
556,Global,2007,News Searches,2,YouTube
557,Global,2007,News Searches,3,Britney Spears
558,Global,2007,News Searches,4,2007 Cricket World Cup
559,Global,2007,News Searches,5,Chris Benoit
560,United States,2007,Deaths of 2007,1,Anna Nicole Smith
561,United States,2007,Deaths of 2007,2,Travis Barker (Rumored)
562,United States,2007,Deaths of 2007,3,Vince McMahon (Rumored)
563,United States,2007,Deaths of 2007,4,Chris Benoit
564,United States,2007,Deaths of 2007,5,Fidel Castro (Rumored)
565,United States,2007,Diets,1,Weight Watchers
566,United States,2007,Diets,2,Jenny Craig
567,United States,2007,Diets,3,Volumetrics
568,United States,2007,Diets,4,Slim Fast
569,United States,2007,Diets,5,Atkins Diet
570,United States,2007,Fitness,1,Pilates
571,United States,2007,Fitness,2,Bikram Yoga
572,United States,2007,Fitness,3,Spinning
573,United States,2007,Fitness,4,Cross Fit
574,United States,2007,Fitness,5,Zumba
575,United States,2007,How To,1,How to Kiss
576,United States,2007,How To,2,How to Draw
